SUBMISSION_ID,COMMON_NAME,SCIENTIFIC_NAME,TAXONOMIC_ORDER,COUNT,STATE_PROVINCE,COUNTY,LOCATION_ID,LOCATION,LATITUDE,LONGITUDE,DATE,TIME,PROTOCOL,DURATION_MIN,ALL_OBS_REPORTED,DISTANCE_TRAVELED_KM,AREA_COVERED_HA,NUMBER_OF_OBSERVERS,BREEDING_CODE,OBSERVATION_DETAILS,CHECKLIST_COMMENTS,ML_CATALOG_NUMBERS,PROVINCE_FR,PROVINCE_EN,COUNTRY_FR,COUNTRY_EN,DATE_FR,DATE_EN,MJD,MJD_END,LOCSTR,ENGLISH_NAME,ORDER,FAMILY,SORT,EBIRD_CODE,SCIENTIFIC_NAME_NOSSP,YEAR
S26589178,Oie des neiges,Anser caerulescens,242,5,CA-QC,Beauharnois-Salaberry,L1912225,Halte des Pêcheurs,45.235149,-74.004757,2015-12-11,01:56 PM,eBird - Traveling Count,90,1,3.,nan,1,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,57367.580555555556,57367.643055555556,451406N740017W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2015
S18566887,Oie des neiges,Anser caerulescens,242,1,CA-QC,Gatineau,L489654,Rapides Deschênes,45.37778,-75.79972,1991-03-17,nan,eBird - Casual Observation,0,0,nan,nan,1,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,48332.5,48332.5,452240N754758W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,1991
S77787752,Oie des neiges,Anser caerulescens,242,4,CA-QC,La Vallée-du-Richelieu,L1016746,Fort Chambly,45.4494889,-73.2766736,2020-12-21,09:13 AM,eBird - Traveling Count,58,1,1.27,nan,2,nan,nan,nan,289861741,Québec,Quebec,Canada,Canada,,,59204.38402777778,59204.424305555556,452658N731636W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2020
S77833475,Oie des neiges,Anser caerulescens,242,5,CA-QC,La Vallée-du-Richelieu,L1016746,Fort Chambly,45.4494889,-73.2766736,2020-12-22,09:10 AM,eBird - Traveling Count,64,1,.5,nan,2,nan,nan,nan,290197541 290197581 290197591,Québec,Quebec,Canada,Canada,,,59205.381944444445,59205.42638888889,452658N731636W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2020
S92671939,Oie des neiges,Anser caerulescens,242,1,CA-QC,Le Fjord-du-Saguenay,L9672657,"PN du Fjord-du-Saguenay, sentier de la Statue",48.3077673,-70.3309062,2021-08-02,11:07 AM,eBird - Traveling Count,254,1,5.,nan,1,nan,dans les hautes herbes à l'embouchure de la rivière éternité,nan,360336091,Québec,Quebec,Canada,Canada,,,59428.46319444444,59428.63958333333,481827N701951W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2021
S43556620,Oie des neiges,Anser caerulescens,242,2000,CA-QC,Le Haut-Richelieu,L7050463,"101e avenue, Saint-Blaise-sur-Richelieu",45.181175,-73.2644773,2018-03-11,10:42 AM,eBird - Traveling Count,43,1,2.36,nan,1,nan,nan,nan,89351031,Québec,Quebec,Canada,Canada,,,58188.44583333333,58188.475694444445,451052N731552W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2018
S75384562,Oie des neiges,Anser caerulescens,242,1000,CA-QC,Les Basques,L4788646,Lac St-Mathieu,48.1591008,-69.0193748,2020-10-25,11:24 AM,eBird - Traveling Count,33,1,1.54,nan,2,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,59147.475,59147.49791666667,480932N690109W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2020
S20418990,Oie des neiges,Anser caerulescens,242,2000,CA-QC,Lotbinière,L3145777,"Cap, Sainte-Croix",46.63217,-71.6749763,2014-11-02,11:30 AM,eBird - Traveling Count,45,1,1.,nan,1,nan,nan,nan,29632101,Québec,Quebec,Canada,Canada,,,56963.479166666664,56963.510416666664,463755N714029W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2014
S56085234,Oie des neiges,Anser caerulescens,242,1000,CA-QC,Maskinongé,L1423368,Louiseville,46.25333,-72.93787,2019-05-09,06:30 PM,eBird - Casual Observation,nan,0,nan,nan,1,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,58612.770833333336,nan,461511N725616W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2019
S18566888,Oie des neiges,Anser caerulescens,242,1000,CA-QC,Montmagny,L2940637,Refuge d'oiseaux de Montmagny,46.9905754,-70.5600357,2003-10-13,nan,eBird - Casual Observation,0,0,nan,nan,1,nan,nan,nan,21100581,Québec,Quebec,Canada,Canada,,,52925.5,52925.5,465926N703336W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2003
